"datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports"
"falusi96","exp1","Fagus","sylvatica","","yes","14.4298955108","ambient","14","100",47.96,2519,"","","30-Apr-1988",43.81666667,14.4298955108,14,2838,47.96,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica","","yes","14.6062496735249","ambient","14","100",51.03,2519,"","","30-Apr-1988",43.81666667,14.6062496735249,14,2838,51.03,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica","","yes","13.7127774712733","ambient","12","44.31",17.24,2978,"","","30-Apr-1988",42.05,13.7127774712733,12,2422,17.24,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.8445235000746","ambient","12","62.12",20.37,2978,"","","30-Apr-1988",42.05,13.8445235000746,12,2422,20.37,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.6729163610532","ambient","12","76.55",23.41,2978,"","","30-Apr-1988",42.05,13.6729163610532,12,2422,23.41,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.5601848820914","ambient","12","89.97",26.42,2978,"","","30-Apr-1988",42.05,13.5601848820914,12,2422,26.42,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.7984996915795","ambient","13","95.38",29.48,2978,"","","30-Apr-1988",42.05,13.7984996915795,13,2422,29.48,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.8383330240225","ambient","13","96.17",32.5,2978,"","","30-Apr-1988",42.05,13.8383330240225,13,2422,32.5,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.9862496873829","ambient","13","97.86",35.65,2978,"","","30-Apr-1988",42.05,13.9862496873829,13,2422,35.65,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","14.1565381451152","ambient","13","99.78",38.58,2978,"","","30-Apr-1988",42.05,14.1565381451152,13,2422,38.58,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","14.0138092105765","ambient","13","100",41.53,2978,"","","30-Apr-1988",42.05,14.0138092105765,13,2422,41.53,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","14.222444126548","ambient","13","100",44.66,2978,"","","30-Apr-1988",42.05,14.222444126548,13,2422,44.66,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","14.4298955108","ambient","13","100",47.72,2978,"","","30-Apr-1988",42.05,14.4298955108,13,2422,47.72,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","14.6052937911933","ambient","14","100",50.76,2978,"","","30-Apr-1988",42.05,14.6052937911933,14,2422,50.76,"amb","amb","fldest",2978,144.331319486274
"falusi96","exp1","Fagus","sylvatica","","yes","13.6729163610532","ambient","12","48.93",23.35,727,"","","30-Apr-1988",38.26666667,13.6729163610532,12,753,23.35,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","13.5601848820914","ambient","12","68.21",26.39,727,"","","30-Apr-1988",38.26666667,13.5601848820914,12,753,26.39,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","13.7984996915795","ambient","13","88.73",29.46,727,"","","30-Apr-1988",38.26666667,13.7984996915795,13,753,29.46,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","13.8383330240225","ambient","13","91.32",32.55,727,"","","30-Apr-1988",38.26666667,13.8383330240225,13,753,32.55,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","13.9862496873829","ambient","13","96.62",35.56,727,"","","30-Apr-1988",38.26666667,13.9862496873829,13,753,35.56,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","14.1565381451152","ambient","13","97.29",38.63,727,"","","30-Apr-1988",38.26666667,14.1565381451152,13,753,38.63,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","14.0138092105765","ambient","13","97.86",41.73,727,"","","30-Apr-1988",38.26666667,14.0138092105765,13,753,41.73,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","14.222444126548","ambient","13","98.2",44.8,727,"","","30-Apr-1988",38.26666667,14.222444126548,13,753,44.8,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","14.4298955108","ambient","13","99.1",47.87,727,"","","30-Apr-1988",38.26666667,14.4298955108,13,753,47.87,"amb","amb","fldest",727,105.700071757912
"falusi96","exp1","Fagus","sylvatica","","yes","14.6062496735249","ambient","13","100",51.12,727,"","","30-Apr-1988",38.26666667,14.6062496735249,13,753,51.12,"amb","amb","fldest",727,105.700071757912
"falusi96","exp2","Fagus","sylvatica","","yes","16","","12","93.86",24.21,2446,"","","30-Apr-1990",43.8,16,12,3005,24.21,"exp","none","fldest",2446,156.477956319011
"falusi96","exp2","Fagus","sylvatica","","yes","16","","12","90.79",27.19,456,"","","30-Apr-1990",38.26666667,16,12,899,27.19,"exp","none","fldest",456,94.9043635613691
"falusi96","exp2","Fagus","sylvatica","","yes","16","","14","88.01",48.25,0,"","0","",43.8,16,14,0,48.25,"exp","none","exp",0,0
"falusi96","exp2","Fagus","sylvatica","","yes","16","","14","89.33",78.71,0,"","0","",38.2666,16,14,0,78.71,"exp","none","exp",0,0
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","9","88.97",235.09,0,"","0","",38.2666,17.125,9,0,235.09,"exp","exp","exp",0,0
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","9","88.5",59.58,633,"","","01-Mar-1991",38.2666,17.125,9,241,59.58,"exp","exp","fldest",633,75.8522691930718
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","13","93.31",224.16,0,"","0","",38.2666,18.9583333333333,13,0,224.16,"exp","exp","exp",0,0
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","13","91.32",51.87,633,"","","01-Mar-1991",38.2666,18.9583333333333,13,241,51.87,"exp","exp","fldest",633,75.8522691930718
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","9","96.6",150,0,"","0","",43.8,17.125,9,0,150,"exp","exp","exp",0,0
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","9","95.66",45.56,1479,"","","01-Mar-1991",43.8,17.125,9,1140,45.56,"exp","exp","fldest",1479,86.6628496543005
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","13","93.43",224.16,0,"","0","",43.8,18.9583333333333,13,0,224.16,"exp","exp","exp",0,0
"falusi96","exp3","Fagus","sylvatica","","yes","24","13","13","94.37",38.55,1479,"","","01-Mar-1991",43.8,18.9583333333333,13,1140,38.55,"exp","exp","fldest",1479,86.6628496543005
"falusi97","exp2","Fagus","sylvatica","","yes","25","","12","60.338",60,0,"","0","18-Sep-1994",43.8,25,12,-244.5,60,"exp","exp","bothest",0,0
"falusi97","exp1","Fagus","sylvatica","","yes","25","","12","70.096",120,710,"","54","24-Dec-1993",43.82,25,12,804,120,"exp","exp","fldest",710,53.9123071109649
"falusi97","exp2","Fagus","sylvatica","","yes","15","","12","85.232",60,800,"","67","6-Jan-1995",43.8,15,12,841.5,60,"exp","exp","fldest",800,64.2605415284332
"falusi97","exp2","Fagus","sylvatica","","yes","25","","12","100",60,800,"","67","6-Jan-1995",43.8,25,12,841.5,60,"exp","exp","fldest",800,64.2605415284332
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.4579761993317","ambient","12","60.056",41.426,2530,"","","7-Jun-1995",45.224,18.4579761993317,12,3048.5,41.426,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.9818367422843","ambient","12","77.043",48.552,2530,"","","7-Jun-1995",45.224,18.9818367422843,12,3048.5,48.552,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.0601785821574","ambient","12","90.986",55.488,2530,"","","7-Jun-1995",45.224,19.0601785821574,12,3048.5,55.488,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.8130219663892","ambient","12","98.357",90.739,2530,"","","7-Jun-1995",45.224,18.8130219663892,12,3048.5,90.739,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.4579761993317","ambient","12","64.864",41.426,2530,"","","7-Jun-1995",45.224,18.4579761993317,12,3048.5,41.426,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.9818367422843","ambient","12","90.986",48.647,2530,"","","7-Jun-1995",45.224,18.9818367422843,12,3048.5,48.647,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.0601785821574","ambient","12","96.114",55.678,2530,"","","7-Jun-1995",45.224,19.0601785821574,12,3048.5,55.678,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.8130219663892","ambient","12","98.838",90.834,2530,"","","7-Jun-1995",45.224,18.8130219663892,12,3048.5,90.834,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","22.4579761993317","ambient + 4","12","47.877",34.11,2530,"","","7-Jun-1995",45.224,22.4579761993317,12,3048.5,34.11,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","22.9818367422843","ambient + 4","12","59.736",41.331,2530,"","","7-Jun-1995",45.224,22.9818367422843,12,3048.5,41.331,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","23.0601785821574","ambient + 4","12","71.915",48.457,2530,"","","7-Jun-1995",45.224,23.0601785821574,12,3048.5,48.457,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","22.8130219663892","ambient + 4","12","74.479",55.393,2530,"","","7-Jun-1995",45.224,22.8130219663892,12,3048.5,55.393,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.1505000352859","ambient + 4","12","74.319",90.739,2530,"","","7-Jun-1995",45.224,19.1505000352859,12,3048.5,90.739,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","21.5033999538422","ambient + 4","12","43.229",34.11,2530,"","","7-Jun-1995",45.224,21.5033999538422,12,3048.5,34.11,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","21.8610344673025","ambient + 4","12","55.248",41.236,2530,"","","7-Jun-1995",45.224,21.8610344673025,12,3048.5,41.236,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","21.9082258055287","ambient + 4","12","65.024",48.552,2530,"","","7-Jun-1995",45.224,21.9082258055287,12,3048.5,48.552,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","22.0273529291153","ambient + 4","12","70.312",55.393,2530,"","","7-Jun-1995",45.224,22.0273529291153,12,3048.5,55.393,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","22.005270268466","ambient + 4","12","78.806",90.834,2530,"","","7-Jun-1995",45.224,22.005270268466,12,3048.5,90.834,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.0698076899235","ambient","12","64.704",41.141,2530,"","","7-Jun-1995",45.224,19.0698076899235,12,3048.5,41.141,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","18.9962727329948","ambient","12","75.28",48.362,2530,"","","7-Jun-1995",45.224,18.9962727329948,12,3048.5,48.362,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.1132758691393","ambient","12","89.864",55.678,2530,"","","7-Jun-1995",45.224,19.1132758691393,12,3048.5,55.678,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","leader buds","yes","19.1675781272352","ambient","12","93.229",90.739,2530,"","","7-Jun-1995",45.224,19.1675781272352,12,3048.5,90.739,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","18.8822826043419","ambient","12","48.147",51,2530,"","","7-Jun-1995",45.224,18.8822826043419,12,3048.5,51,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.0189000082016","ambient","12","51.73",54,2530,"","","7-Jun-1995",45.224,19.0189000082016,12,3048.5,54,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.0698076899235","ambient","12","57.427",57,2530,"","","7-Jun-1995",45.224,19.0698076899235,12,3048.5,57,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","18.9962727329948","ambient","12","62.481",63,2530,"","","7-Jun-1995",45.224,18.9962727329948,12,3048.5,63,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.1132758691393","ambient","12","62.297",70,2530,"","","7-Jun-1995",45.224,19.1132758691393,12,3048.5,70,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.1132758691393","ambient","12","41.164",49,2530,"","","7-Jun-1995",45.224,19.1132758691393,12,3048.5,49,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.1675781272352","ambient","12","52.006",51,2530,"","","7-Jun-1995",45.224,19.1675781272352,12,3048.5,51,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","19.0375352073723","ambient","12","58.897",54,2530,"","","7-Jun-1995",45.224,19.0375352073723,12,3048.5,54,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","16.0199999809265","ambient","12","66.34",57,2530,"","","7-Jun-1995",45.224,16.0199999809265,12,3048.5,57,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","18.8066667079925","ambient","12","69.556",63,2530,"","","7-Jun-1995",45.224,18.8066667079925,12,3048.5,63,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","20.2754761945634","ambient","12","69.648",70,2530,"","","7-Jun-1995",45.224,20.2754761945634,12,3048.5,70,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","25.7632142731122","ambient + 4","12","40.704",33,2530,"","","7-Jun-1995",45.224,25.7632142731122,12,3048.5,33,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","26.0081428459712","ambient + 4","12","44.196",36,2530,"","","7-Jun-1995",45.224,26.0081428459712,12,3048.5,36,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","26.4579761993317","ambient + 4","12","49.066",39,2530,"","","7-Jun-1995",45.224,26.4579761993317,12,3048.5,39,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","26.9818367422843","ambient + 4","12","49.709",42,2530,"","","7-Jun-1995",45.224,26.9818367422843,12,3048.5,42,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","27.0601785821574","ambient + 4","12","53.109",45,2530,"","","7-Jun-1995",45.224,27.0601785821574,12,3048.5,45,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","26.8130219663892","ambient + 4","12","54.946",49,2530,"","","7-Jun-1995",45.224,26.8130219663892,12,3048.5,49,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","20.0199999809265","ambient + 4","12","56.876",51,2530,"","","7-Jun-1995",45.224,20.0199999809265,12,3048.5,51,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","23.150500035286","ambient + 4","12","59.816",54,2530,"","","7-Jun-1995",45.224,23.150500035286,12,3048.5,54,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","22.8235714946474","ambient + 4","12","59.724",57,2530,"","","7-Jun-1995",45.224,22.8235714946474,12,3048.5,57,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","23.0597059446223","ambient + 4","12","63.675",63,2530,"","","7-Jun-1995",45.224,23.0597059446223,12,3048.5,63,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","24.0370000004768","ambient + 4","12","63.675",70,2530,"","","7-Jun-1995",45.224,24.0370000004768,12,3048.5,70,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","27.1675781272352","ambient + 4","12","42.083",45,2530,"","","7-Jun-1995",45.224,27.1675781272352,12,3048.5,45,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","27.0375352073723","ambient + 4","12","46.401",49,2530,"","","7-Jun-1995",45.224,27.0375352073723,12,3048.5,49,"amb","amb","fldest",2530,155.738153578536
"guak98","exp1","Pseudotsuga","menziesii","terminal buds","yes","20.0199999809265","ambient + 4","12","52.833",51,2530,"","","7-Jun-1995",45.224,20.0199999809265,12,3048.5,51,"amb","amb","fldest",2530,155.738153578536
