"chillport1","siteslist","year","lat","long","lat.long","winter","mat","lo","num.years","cc","chillport2","mat2","chillport4","mat4","chillport3","mat3","chillport5","mat5"
141.590913097548,1,1950,48.2333,12.6833,"48.2333 12.6833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128.364079560506,1,1951,48.2333,12.6833,"48.2333 12.6833",0,12.0347250057282,111,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.657444177637,1,1952,48.2333,12.6833,"48.2333 12.6833",0,13.1639557497187,107,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
123.143122673176,1,1953,48.2333,12.6833,"48.2333 12.6833",0,12.7545052094201,98,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
126.644177046812,1,1954,48.2333,12.6833,"48.2333 12.6833",0,11.2280217270561,119,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
129.631283111734,1,1955,48.2333,12.6833,"48.2333 12.6833",0,11.2743953523932,121,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
131.761899395266,1,1956,48.2333,12.6833,"48.2333 12.6833",0,10.8860437127219,124,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
138.179420417967,1,1957,48.2333,12.6833,"48.2333 12.6833",0,11.594725015563,109,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
119.890757203585,1,1958,48.2333,12.6833,"48.2333 12.6833",0,12.0795601695612,126,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
136.124815858405,1,1959,48.2333,12.6833,"48.2333 12.6833",0,12.7570326818911,103,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
141.1878406724,1,1960,48.2333,12.6833,"48.2333 12.6833",0,12.6197799377062,117,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
140.163603563745,2,1950,51.2833,9.63333,"51.2833 9.63333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.064705805582,2,1951,51.2833,9.63333,"51.2833 9.63333",0,10.7373623973639,111,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
141.65390317931,2,1952,51.2833,9.63333,"51.2833 9.63333",0,12.249450275654,103,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
129.660008130943,2,1953,51.2833,9.63333,"51.2833 9.63333",0,12.4183513707799,89,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
147.024282809669,2,1954,51.2833,9.63333,"51.2833 9.63333",0,11.0218678855102,120,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
137.402358240884,2,1955,51.2833,9.63333,"51.2833 9.63333",0,10.1404393337831,120,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
133.728573465107,2,1956,51.2833,9.63333,"51.2833 9.63333",0,9.91923054751868,122,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
147.881801723727,2,1957,51.2833,9.63333,"51.2833 9.63333",0,10.9097799759276,100,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.935882707556,2,1958,51.2833,9.63333,"51.2833 9.63333",0,10.6635162451683,121,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
154.172895603441,2,1959,51.2833,9.63333,"51.2833 9.63333",0,12.4254942277631,95,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
146.493967688644,2,1960,51.2833,9.63333,"51.2833 9.63333",0,11.6681316073288,96,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.465718095289,3,1950,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127.51836508732,3,1951,48.45,12.35,"48.45 12.35",0,11.5615382031179,110,5,"apre",NA,NA,NA,NA,NA,NA,NA,NA
140.436446803855,3,1952,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128.507856683308,3,1953,48.45,12.35,"48.45 12.35",0,12.4499997217208,113,5,"apre",NA,NA,NA,NA,NA,NA,NA,NA
133.184667889211,3,1954,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132.242200535382,3,1955,48.45,12.35,"48.45 12.35",0,10.8510986585579,123,5,"apre",NA,NA,NA,NA,NA,NA,NA,NA
121.367030251402,3,1956,48.45,12.35,"48.45 12.35",0,10.5992305323195,123,5,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.226845045266,3,1957,48.45,12.35,"48.45 12.35",0,11.3124173295653,113,5,"apre",NA,NA,NA,NA,NA,NA,NA,NA
133.819147297059,3,1958,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145.633991197401,3,1959,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.174071198607,3,1960,48.45,12.35,"48.45 12.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135.837930264484,4,1950,48.9,10.9333,"48.9 10.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.019005494348,4,1951,48.9,10.9333,"48.9 10.9333",0,10.9936261278997,124,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
137.211165375501,4,1952,48.9,10.9333,"48.9 10.9333",0,12.3214282960232,116,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
132.285134864497,4,1953,48.9,10.9333,"48.9 10.9333",0,12.3114282962467,105,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
147.052038007739,4,1954,48.9,10.9333,"48.9 10.9333",0,10.4852744909106,125,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.686415720411,4,1955,48.9,10.9333,"48.9 10.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111.552388636665,4,1956,48.9,10.9333,"48.9 10.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150.163605282575,4,1957,48.9,10.9333,"48.9 10.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.170942394564,4,1958,48.9,10.9333,"48.9 10.9333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131.322651409336,4,1959,48.9,10.9333,"48.9 10.9333",0,12.1976920350526,98,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.921772317407,4,1960,48.9,10.9333,"48.9 10.9333",0,12.0243953356294,118,6,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.88380296439,5,1950,49.9,10.05,"49.9 10.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141.986264605501,5,1951,49.9,10.05,"49.9 10.05",0,12.0794502794538,117,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.682796745327,5,1952,49.9,10.05,"49.9 10.05",0,13.4358238755101,105,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
138.909331604498,5,1953,49.9,10.05,"49.9 10.05",0,13.5632964001334,102,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.385430956083,5,1954,49.9,10.05,"49.9 10.05",0,12.1683513763678,124,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
140.815400241946,5,1955,49.9,10.05,"49.9 10.05",0,11.5128568855247,120,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
133.074949408182,5,1956,49.9,10.05,"49.9 10.05",0,11.2393404081218,119,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.877848157002,5,1957,49.9,10.05,"49.9 10.05",0,12.0019777537129,114,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
131.599436260668,5,1958,49.9,10.05,"49.9 10.05",0,12.0194502807949,119,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
145.924060880631,5,1959,49.9,10.05,"49.9 10.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140.24154942254,5,1960,49.9,10.05,"49.9 10.05",0,13.3401095919352,97,9,"apre",NA,NA,NA,NA,NA,NA,NA,NA
141.999164657606,6,1950,50.55,9.66667,"50.55 9.66667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134.297706551274,6,1951,50.55,9.66667,"50.55 9.66667",0,10.8263733843853,120,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
147.306740130931,6,1952,50.55,9.66667,"50.55 9.66667",0,12.2903293956194,106,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
139.700601266085,6,1953,50.55,9.66667,"50.55 9.66667",0,12.5421975218578,102,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.626216728316,6,1954,50.55,9.66667,"50.55 9.66667",0,11.1181316196223,118,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
132.560830225078,6,1955,50.55,9.66667,"50.55 9.66667",0,10.5116481166947,125,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
131.025646353204,6,1956,50.55,9.66667,"50.55 9.66667",0,10.4450547115898,129,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
147.873570471886,6,1957,50.55,9.66667,"50.55 9.66667",0,11.1174722789777,116,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
143.48742882106,6,1958,50.55,9.66667,"50.55 9.66667",0,10.9006590970106,124,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
146.614772444034,6,1959,50.55,9.66667,"50.55 9.66667",0,12.6801096066873,108,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
145.384701977596,6,1960,50.55,9.66667,"50.55 9.66667",0,12.3108788457095,123,10,"apre",NA,NA,NA,NA,NA,NA,NA,NA
141.956475779273,7,1950,50.5667,9.35,"50.5667 9.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
