"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1952/1953",1953,2430,2515.5,130.600729164332,5.52898577017762
"1953/1954",1954,2423,2637.5,129.427044618055,5.38389143379809
"1954/1955",1955,2298,2397,133.738463883011,5.17466974036136
"1955/1956",1956,2571,2561.5,126.762044543521,4.52157271359151
"1956/1957",1957,2597,3010,144.537371211069,6.97599045481568
"1957/1958",1958,2897,2738.5,137.299048340595,5.26775936092215
"1958/1959",1959,2578,2638.5,131.668978562998,7.0436083778326
"1959/1960",1960,2547,3024,140.533290344276,6.00166657722245
"1960/1961",1961,2367,2632.5,132.016904269603,7.5573583663494
"1961/1962",1962,2638,2597.5,127.318864295632,6.06941028640008
"1962/1963",1963,1569,2029,110.950131690037,3.510731098308
"1963/1964",1964,2555,2600.5,131.084312217404,5.31516424514913
"1964/1965",1965,2816,2743,137.004846298083,5.75639142547207
"1965/1966",1966,2571,2599,125.976388369673,5.28297162473307
"1966/1967",1967,2667,3168,143.636247168779,7.09719328229526
"1967/1968",1968,2461,2313.5,121.222755371722,6.68497642110421
"1968/1969",1969,1980,2015,112.634104994144,4.84094333272638
"1969/1970",1970,2350,2406,129.692346622533,3.79650939380715
"1970/1971",1971,2632,2952.5,139.917783496737,6.13089613408237
"1971/1972",1972,2703,2987,143.199151660321,6.52265248107046
"1972/1973",1973,3163,3302,148.587743066216,6.34775933678227
"1973/1974",1974,3055,3736.5,156.259361897415,6.91603762596705
"1974/1975",1975,2963,3522.5,151.884049013623,7.41759421852997
"1975/1976",1976,2488,2633.5,132.674576632815,5.71619710003511
"1976/1977",1977,2632,3089.5,143.073336809496,6.42261782567509
"1977/1978",1978,2499,2790.5,136.795543012582,6.84124989178963
"1978/1979",1979,2462,2530,126.139466366128,4.71811314679261
"1979/1980",1980,2579,2537,137.0028407805,5.57014076527156
"1980/1981",1981,2421,2556,129.466428784182,6.31299518661591
"1981/1982",1982,2564,2811.5,137.401204128233,4.80721691838589
"1982/1983",1983,2363,2868,140.134173407197,7.23396214716277
"1983/1984",1984,2859,2666.5,134.520167496068,6.01816892427143
"1984/1985",1985,2311,2324.5,119.597718481581,5.09721691190388
"1985/1986",1986,2273,2654.5,127.967558385716,5.08044804435417
"1986/1987",1987,1968,2391,131.892669104544,5.07563672370699
"1987/1988",1988,2894,3279.5,150.684066221819,7.14485903993301
"1988/1989",1989,2449,3019,140.32697245025,7.96601401759259
"1989/1990",1990,2452,3109,143.004088725176,8.34476400912687
"1990/1991",1991,2689,2942.5,136.297025241771,6.91599045615678
"1991/1992",1992,3017,3630,150.734547368351,7.01943650752516
"1992/1993",1993,2551,2661,134.767848744097,6.65290083939579
"1993/1994",1994,2595,3274,145.223037123622,6.27660367799536
"1994/1995",1995,2490,2545.5,127.906111449564,7.28299516493472
"1995/1996",1996,2271,1878.5,113.353270606856,4.32119713121579
"1996/1997",1997,2581,2781,139.588685267109,5.97799519410374
"1997/1998",1998,2260,2988.5,142.932044205086,7.54608478169572
"1998/1999",1999,2452,2948,139.420955276399,6.7953536664004
"1999/2000",2000,2383,3102,140.86986184253,7.83234728747725
"2000/2001",2001,2594,2540.5,128.871779557277,7.07259422624132
"2001/2002",2002,2527,3124.5,142.657637956415,7.78825458760356
"2002/2003",2003,2508,2750,140.165376694643,5.42924520636926
"2003/2004",2004,2518,2807,139.918999811052,6.80582148882565
"2004/2005",2005,2323,2375,128.13713077033,7.08811309381898
"2005/2006",2006,2122,2301,126.45846592702,5.84919802717126
"2006/2007",2007,2473,3238,143.847464568769,9.85705171117366
"2007/2008",2008,2712,3366.5,151.596242472863,7.46025809391616
"2008/2009",2009,2416,2688,131.175500790182,7.19995271396068
"2009/2010",2010,1785,1958.5,110.651150052962,5.55783010915554
"2010/2011",2011,2399,2617.5,130.228785699389,6.14707537900375
"2011/2012",2012,2329,2863,134.342027112192,7.36471818994836
"2012/2013",2013,2259,2421,126.073519043689,5.43077822520292
"1950/1951",1951,2764,3291,150.273850531212,5.04024993204512
"1951/1952",1952,2908,2910.5,136.91063974222,6.8221360424516
"1952/1953",1953,2370,2618.5,133.319038126338,5.52898577017762
"1953/1954",1954,2348,2720.5,132.577923939145,5.38389143379809
"1954/1955",1955,2354,2520.5,133.834409938244,5.17466974036136
"1955/1956",1956,2517,2720,129.847685643588,4.52157271359151
"1956/1957",1957,2470,3083.5,144.083744192372,6.97599045481568
"1957/1958",1958,2907,2957,138.697360189643,5.26775936092215
"1958/1959",1959,2430,2729.5,132.354996838407,7.0436083778326
