"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1953/1954",1954,2474,2455,128.844258428803,5.48705183120251
"1954/1955",1955,2341,2232.5,130.093661348324,5.33650938173721
"1955/1956",1956,2522,2463.5,123.506638274115,4.8840609907518
"1956/1957",1957,2449,2756.5,140.006000629303,7.25613198033973
"1957/1958",1958,2897,2577.5,135.880859392383,5.88471691665363
"1958/1959",1959,2625,2567.5,131.951075946946,7.64641499048415
"1959/1960",1960,2776,2974,140.362881749931,6.20744124286209
"1960/1961",1961,2346,2520,126.830876577309,8.23801875084568
"1961/1962",1962,2573,2447,126.420707270874,6.76521217999189
"1962/1963",1963,1533,1867.5,109.31604963341,3.71674526699836
"1963/1964",1964,2469,2439,124.277599214697,5.56208914461078
"1964/1965",1965,2632,2395,128.588640757098,6.06962257289802
"1965/1966",1966,2498,2405.5,122.133685809577,5.81915088038329
"1966/1967",1967,2627,2885.5,137.283822143596,7.65188668847506
"1967/1968",1968,2435,2173.5,119.787016689283,7.37206562997625
"1968/1969",1969,1808,1747,106.771942202764,5.09297165133164
"1969/1970",1970,2205,2242,124.186720101514,4.26721695280757
"1970/1971",1971,2503,2817.5,136.427255142222,6.76808953841814
"1971/1972",1972,2724,2909,137.114864438397,7.14877924999056
"1972/1973",1973,3175,2949.5,142.735792454534,6.71198104910623
"1973/1974",1974,3106,3638,155.5011078241,7.45707537207471
"1974/1975",1975,3099,3344,148.607121957016,7.86066026871427
"1975/1976",1976,2599,2496.5,128.139894892683,6.02187786672807
"1976/1977",1977,2709,2973.5,142.285518828059,7.02474047607777
"1977/1978",1978,2422,2631,132.596943472593,7.39018858111692
"1978/1979",1979,2415,2430.5,126.902073481153,5.49797164227919
"1979/1980",1980,2459,2265,127.789409669022,5.69410792100265
"1980/1981",1981,2288,2345.5,123.466110394019,6.78775934929924
"1981/1982",1982,2469,2667,132.539498185271,5.66804239319479
"1982/1983",1983,2450,2755,138.407412178167,8.32641497528497
"1983/1984",1984,2805,2544.5,134.97722021381,6.50488255076775
"1984/1985",1985,2268,2228.5,118.192062483945,5.44089617185681
"1985/1986",1986,2320,2640.5,130.445683033091,5.44450466234219
"1986/1987",1987,2004,2303,126.204085277483,5.59568390424609
"1987/1988",1988,2889,3151,147.403514461095,7.92105622803399
"1988/1989",1989,2470,2918,141.249848829526,8.54768855524478
"1989/1990",1990,2547,2943.5,139.908062920002,8.99129703589539
"1990/1991",1991,2678,2837.5,136.075039121186,7.33893858226245
"1991/1992",1992,3093,3295,144.508376697957,7.80131444667287
"1992/1993",1993,2631,2458,130.497388097943,6.98299519399199
"1993/1994",1994,2766,3163.5,143.107048967349,7.14747632239102
"1994/1995",1995,2511,2392,124.610089048708,7.96816026631145
"1995/1996",1996,2131,1715,108.946890283108,4.80920183749546
"1996/1997",1997,2617,2592.5,135.689323778879,6.51938671378841
"1997/1998",1998,2263,2843.5,140.405130564517,8.11502347057597
"1998/1999",1999,2638,2762.5,137.145845191697,7.27247631959705
"1999/2000",2000,2331,2841,134.06508707651,8.500469360623
"2000/2001",2001,2533,2407.5,126.133965533728,7.98290083201971
"2001/2002",2002,2515,2926.5,140.34230790916,8.33613195619985
"2002/2003",2003,2521,2552,136.050754465803,5.91436314240608
"2003/2004",2004,2568,2670,137.13333930794,7.33030506752939
"2004/2005",2005,2386,2299,126.633661994988,7.41238197684727
"2005/2006",2006,2047,2120,124.302674924687,6.08985842150232
"2006/2007",2007,2646,3082.5,142.327250105648,10.400683796846
"2007/2008",2008,2873,3300,148.273551432911,7.96474167306693
"2008/2009",2009,2491,2437.5,127.381334113506,7.50731122000846
"2009/2010",2010,1857,1834,104.056105377475,6.04865559223459
"2010/2011",2011,2438,2575.5,129.145074407109,6.48200463915226
"2011/2012",2012,2336,2696,132.948428971912,7.86335669880724
