"","spps","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","phylo","crops","sppnum"
"1856","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",63.85,0,"","0","30-Sep-1974",NA,NA,24,16,0,63.85,"exp","exp","exp",0,0,"Populus_deltoides",137,1.55359904573348,0.522249097258486,-1.57241200105108,"Populus_deltoides","nocrop",1
"1857","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",53.904,240,"1.6","10","30-Sep-1974",NA,NA,21,16,0.5,53.904,"exp","exp","exp",240,5.03524702111243,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-1.41409931827715,"Populus_deltoides","nocrop",1
"1858","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",44.92,480,"1.6","20","30-Sep-1974",NA,NA,21,16,1,44.92,"exp","exp","exp",480,10.9967601697108,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-1.25578663550322,"Populus_deltoides","nocrop",1
"1859","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",37.754,720,"1.6","30","30-Sep-1974",NA,NA,21,16,1.5,37.754,"exp","exp","exp",720,16.9584746863571,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-1.09747395272928,"Populus_deltoides","nocrop",1
"1860","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",31.337,960,"1.6","40","30-Sep-1974",NA,NA,21,16,2,31.337,"exp","exp","exp",960,22.9201893166382,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.939161269955351,"Populus_deltoides","nocrop",1
"1861","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",25.775,1200,"1.6","50","30-Sep-1974",NA,NA,21,16,2.5,25.775,"exp","exp","exp",1200,28.8819039469834,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.780848587181418,"Populus_deltoides","nocrop",1
"1862","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",21.39,1440,"1.6","60","30-Sep-1974",NA,NA,21,16,3,21.39,"exp","exp","exp",1440,34.8436185773286,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.622535904407486,"Populus_deltoides","nocrop",1
"1863","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",18.289,1680,"1.6","70","30-Sep-1974",NA,NA,21,16,3.5,18.289,"exp","exp","exp",1680,40.8053332076737,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.464223221633553,"Populus_deltoides","nocrop",1
"1864","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",16.15,1920,"1.6","80","30-Sep-1974",NA,NA,21,16,4,16.15,"exp","exp","exp",1920,46.7670478380189,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.30591053885962,"Populus_deltoides","nocrop",1
"1865","Populus_deltoides","thielges75","exp1","Populus","deltoides","","yes","24","15","16","timeonly",15.294,2160,"1.6","90","30-Sep-1974",NA,NA,21,16,4.5,15.294,"exp","exp","exp",2160,52.7287624683641,"Populus_deltoides",137,1.02402294961753,0.522249097258486,-0.147597856085687,"Populus_deltoides","nocrop",1
